"job_name";"taxonomy";"coverage";"specificity";"accessions";"eligible";"match";"mismatch";"nodata";"outgroup_matchable";"outgroup_matched"
"Euk_18S_16";"SILVA (only NR);Archaea;Euryarchaeota;Thermococci;Methanofastidiosales;Methanofastidiosaceae;";"0.0";"0";"60";"48";"0";"48";"12";"414867";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Euryarchaeota;Thermococci;Methanofastidiosales;Methanofastidiosaceae;Candidatus Methanofastidiosum;";"0.0";"0";"60";"48";"0";"48";"12";"414867";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Euryarchaeota;Thermococci;Methanofastidiosales;uncultured;";"0.0";"0";"132";"64";"0";"64";"68";"414851";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Euryarchaeota;Thermococci;Thermococcales;";"0.0";"0";"206";"161";"0";"161";"45";"414754";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;";"0.0";"0";"206";"161";"0";"161";"45";"414754";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Palaeococcus;";"0.0";"0";"9";"7";"0";"7";"2";"414908";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Pyrococcus;";"0.0";"0";"23";"21";"0";"21";"2";"414894";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;";"0.0";"0";"174";"133";"0";"133";"41";"414782";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Hadarchaeota;";"0.0";"0";"300";"168";"0";"168";"132";"414747";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Hadarchaeota;Hadarchaeia;";"0.0";"0";"300";"168";"0";"168";"132";"414747";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Hadarchaeota;Hadarchaeia;Hadarchaeales;";"0.0";"0";"300";"168";"0";"168";"132";"414747";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Halobacterota;";"0.0";"0";"5352";"3506";"0";"3506";"1846";"411409";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Halobacterota;ANME-1;";"0.0";"0";"154";"101";"0";"101";"53";"414814";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Halobacterota;ANME-1;ANME-1a;";"0.0";"0";"45";"23";"0";"23";"22";"414892";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Halobacterota;ANME-1;ANME-1b;";"0.0";"0";"94";"66";"0";"66";"28";"414849";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Halobacterota;Archaeoglobi;";"0.0";"0";"80";"65";"0";"65";"15";"414850";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Halobacterota;Archaeoglobi;Archaeoglobales;";"0.0";"0";"80";"65";"0";"65";"15";"414850";"6"
